馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ビスクヴィート,牡2,55.0,内田博,美浦・中舘,追込,27.9,8,7,2歳未勝利,36.4,,新潟,24,中2週,Y,,2,マインドユアビスケッツ,ダイワメジャー,,
2,2,モミスケ,牡2,54.0,長浜,美浦・水野,差し,30.4,9,8,2歳未勝利,39.7,,札幌,37,中4週,Y,,2,ビッグアーサー,ゼンノロブロイ,,
3,3,ソウラスフロス,牡2,55.0,,美浦・金成,,15.4,4,9,2歳新馬,40.2,,中山,17,中1週,Y,,1,フォーウィールドライブ,ディープインパクト,,
4,4,シュアシング,牝2,55.0,武藤,美浦・相沢,先行,20.5,6,6,2歳未勝利,36.2,,新潟,30,中3週,Y,,3,ジャンダルム,ジョーカプチーノ,,
5,5,ドナビッグベン,牝2,55.0,佐々木,美浦・秋本,先行,2.5,1,2,2歳未勝利,37.6,,福島,65,中8週,Y,,2,タワーオブロンドン,ルーラーシップ,,
6,6,ベアアミーチ,牝2,55.0,松岡,美浦・杉浦,先行,3.4,2,4,2歳未勝利,36.3,,福島,86,中11週,Y,,2,ミスチヴィアスアレックス,スウェプトオーヴァーボード,,
7,6,スウィット,牡2,55.0,木幡巧,美浦・牧,差し,16.0,5,5,2歳未勝利,39.1,,福島,65,中8週,Y,,2,エイシンフラッシュ,キングカメハメハ,,
8,7,ギムナシオン,牡2,55.0,横山武,美浦・嘉藤,差し,4.5,3,5,2歳新馬,38.2,,中山,17,中1週,Y,,1,マテラスカイ,ダイワメジャー,,
9,7,ヤマニンスペッキオ,牡2,55.0,江田照,美浦・田中勝,差し,30.9,10,10,2歳新馬,37.7,,中山,17,中1週,Y,,1,シュヴァルグラン,シンボリクリスエス,,
10,8,ダンシングリリー,牝2,55.0,,美浦・佐藤吉,差し,25.7,7,7,2歳新馬,38.6,,中山,17,中1週,Y,,1,マクフィ,ヨハネスブルグ,,
11,8,ヒーローシー,牝2,55.0,丸田,美浦・石栗,追込,36.1,11,13,2歳未勝利,35.7,,中山,16,中1週,Y,,2,マクフィ,トウカイテイオー,,
