馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,スズカコーズ B,牡4,西村淳,美浦・伊藤圭,差し,30.8,9,7,4歳以上2勝クラス,36.9,490(-8),京都,29,中3週,Y,,3,スズカコーズウェイ,サンデーサイレンス,
2,2,スペクトログラム B,牡5,荻野極,栗東・池江,差し,27.4,8,9,4歳以上2勝クラス,37.0,504(-2),京都,29,中3週,Y,,3,ドレフォン,フジキセキ,
3,3,エアメテオラ,牡4,ムルザ,栗東・池添,先行,3.4,2,3,4歳以上2勝クラス,37.2,516(+4),京都,57,中7週,Y,,3,Goldencents,エンパイアメーカー,
4,3,ユイノイチゲキ,牡4,長岡,美浦・深山,,18.7,6,1,4歳以上1勝クラス,36.5,500(-16),東京,29,中3週,Y,,3,ディスクリートキャット,ゴールドアリュール,
5,4,サヴァイヴ,牡7,岩田望,栗東・河嶋,差し,20.8,7,5,4歳以上2勝クラス,36.5,492(+4),京都,42,中5週,Y,,3,キンシャサノキセキ,Galileo,
6,4,ターニングアップ,牡6,吉村,美浦・石毛,,196.6,12,12,4歳以上2勝クラス,42.7,478(-14),中山,21,中2週,Y,,3,カレンブラックヒル,ブライアンズタイム,
7,5,フィールザワールド B,牡6,池添,美浦・岩戸,追込,16.2,5,10,4歳以上2勝クラス,35.8,482(-2),東京,42,中5週,Y,,3,ブラックタイド,Distant View,
8,5,トーアエレクトロン,牡6,菱田,栗東・羽月,先行,393.0,13,11,3歳以上2勝クラス,37.5,464(-8),阪神,85,中11週,Y,,3,ディスクリートキャット,アグネスデジタル,
9,6,アウグスト B,牡5,菅原明,美浦・斎藤誠,先行,14.4,4,6,4歳以上2勝クラス,37.2,516(-6),京都,29,中3週,Y,,3,ザファクター,ゼンノロブロイ,
10,6,テイエムファルコン,牡7,和田竜,栗東・高橋一,追込,125.9,11,8,4歳以上2勝クラス,36.3,506(-16),阪神,22,中2週,Y,,3,スマートファルコン,アドマイヤムーン,
11,7,カセノミオ,牝4,田口,栗東・中尾,先行,2.3,1,2,4歳以上2勝クラス,36.7,524(+2),京都,29,中3週,Y,,3,アジアエクスプレス,マヤノトップガン,
12,7,ゴキゲンサン,牝4,松若,美浦・伊藤大,逃げ,64.1,10,10,4歳以上2勝クラス,36.8,484(-16),中山,22,中2週,Y,,3,リアルインパクト,ヨハネスブルグ,
13,8,ファーストリッキー,セ5,酒井,栗東・村山,差し,448.8,14,13,4歳以上2勝クラス,39.0,488(-2),阪神,14,中1週,Y,,3,コパノリッキー,Smoke Glacken,
14,8,エコロアレス,牡4,武豊,栗東・森秀,逃げ,4.9,3,3,4歳以上2勝クラス,37.3,474(0),京都,29,中3週,Y,,3,Unified,Heatseeker,
