馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,レッドモンレーヴ,牡7,58.0,酒井,美浦・蛯名正,追込,52.2,16,16,,32.6,,阪神,21,中2週,Y,,3,ロードカナロア,ディープインパクト,,B
2,1,アイサンサン,牝4,56.0,,栗東・橋田,先行,47.4,15,13,,32.9,,東京,133,中18週,Y,,3,キズナ,シンボリクリスエス,,
3,2,ママコチャ,牝7,56.0,武豊,栗東・池江,先行,21.2,8,3,,33.4,,阪神,21,中2週,Y,,1,クロフネ,キングカメハメハ,,
4,2,ジューンブレア,牝5,56.0,坂井,栗東・武英,,29.8,11,17,,35.4,,中京,182,中25週,Y,Y,3,American Pharoah,Galileo,,
5,3,サウンドモリアーナ,牝4,56.0,吉田隼,栗東・武英,先行,25.8,10,1,,33.6,,札幌,35,中4週,Y,,3,ミッキーアイル,ケイムホーム,,
6,3,ワールズエンド,牡5,58.0,津村,栗東・池添,逃げ,11.9,4,2,,34.2,,東京,112,中15週,Y,,3,ロードカナロア,ゼンノロブロイ,,
7,4,ペアポルックス,牡5,58.0,岩田康,栗東・梅田,追込,42.0,13,10,,33.2,,中京,182,中25週,Y,Y,3,キンシャサノキセキ,ディープインパクト,,
8,4,エーティーマクフィ,牡7,58.0,富田,栗東・武英,差し,32.3,12,4,,33.6,,札幌,35,中4週,Y,,3,マクフィ,ハーツクライ,,B
9,5,スターアニス,牝3,54.0,ルメー,栗東・高野,差し,4.3,2,12,,34.3,,東京,126,中17週,Y,,3,ドレフォン,ダイワメジャー,,
10,5,レイピア,牡4,58.0,横山武,栗東・中竹,差し,22.4,9,2,,33.4,,中京,49,中6週,Y,,3,タワーオブロンドン,エンパイアメーカー,,
11,6,ルガル,牡6,58.0,鮫島駿,栗東・杉山晴,先行,15.6,6,8,,,,アスコット,99,中13週,,,1,ドゥラメンテ,New Approach,,
12,6,ブラックチャリス,牝3,54.0,浜中,栗東・武幸,先行,42.3,14,6,,35.6,,札幌,49,中6週,Y,,3,キタサンブラック,トゥザワールド,,
13,7,パンジャタワー,牡4,58.0,松山,栗東・橋口,差し,4.2,1,2,,33.5,,札幌,35,中4週,Y,,3,タワーオブロンドン,ヴィクトワールピサ,,
14,7,ウインカーネリアン,牡9,58.0,三浦,美浦・鹿戸,先行,13.0,5,3,,34.0,,札幌,35,中4週,Y,,2,スクリーンヒーロー,マイネルラヴ,,B
15,8,フリッカージャブ,牡4,58.0,西村淳,栗東・西園翔,,4.8,3,1,,33.7,,阪神,21,中2週,Y,,3,サートゥルナーリア,サクラバクシンオー,,
16,8,ピューロマジック,牝5,56.0,岩田望,栗東・安田,,16.4,7,2,,34.2,,阪神,21,中2週,Y,,3,アジアエクスプレス,ディープインパクト,,
