馬番,枠番,馬名,性齢,斤量,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ライヴレッドアイ,牝3,54.0,木幡巧,美浦・牧,逃げ,18.6,2,1,3歳以上1勝クラス,36.8,,福島,77,中10週,Y,,3,ベストウォーリア,クロフネ,,B
2,1,ホーリーブライト,牝5,53.0,遠藤,美浦・竹内,差し,999.9,14,14,,37.0,,福島,76,中10週,Y,,3,マクフィ,ディープブリランテ,,
3,2,キボウノホシ,セ7,58.0,,美浦・奥平,追込,74.4,9,8,,35.9,,阪神,105,中14週,Y,,3,ロードカナロア,アグネスタキオン,,
4,2,グラスブランシュ,牝5,56.0,野中,美浦・松山,追込,223.2,12,13,,36.9,,福島,70,中9週,Y,,3,エピカリス,フレンチデピュティ,,
5,3,ロッカバイベイビー,牝4,53.0,佐藤,美浦・伊藤圭,差し,999.9,15,9,,36.8,,新潟,62,中8週,Y,,3,ルヴァンスレーヴ,ゴールドアリュール,,B
6,3,モーゲンセン,牡3,56.0,丹内,美浦・斎藤誠,先行,22.3,3,3,,36.7,,中山,20,中2週,Y,,3,Mendelssohn,Pioneerof the Nile,,
7,4,トヨサカエ,牡3,56.0,吉田豊,美浦・高橋文,差し,1.1,1,1,3歳1勝クラス,35.5,,東京,118,中16週,Y,,3,ディーマジェスティ,アルデバランII,,
8,4,マサノピンクレディ,牝3,54.0,横山武,美浦・小笠,,22.3,4,1,3歳以上1勝クラス,36.0,,中山,21,中2週,Y,,3,ダノンレジェンド,ゴールドヘイロー,,
9,5,サマースイートピー,牝4,56.0,内田博,美浦・千葉,先行,74.4,10,2,,36.6,,中山,20,中2週,Y,,3,モズアスコット,ブラックタイド,,
10,5,エリカマユーリ,牝4,56.0,ルメー,美浦・堀,先行,31.8,6,5,3歳以上2勝クラス,36.6,,中山,280,中39週,Y,Y,3,Quality Road,War Front,,
11,6,ルーフオブヘヴン,牝5,56.0,戸崎圭,美浦・武藤,差し,37.2,7,4,,35.8,,中山,20,中2週,Y,,3,ドレフォン,ワークフォース,,
12,6,ホウオウプレミア,牡7,58.0,岩田康,美浦・奥村武,差し,111.6,11,4,,35.9,,中山,6,連闘,Y,,3,ロードカナロア,クロフネ,,B
13,7,クインズポラリス,牝5,56.0,田辺,美浦・上原博,差し,24.8,5,9,4歳以上2勝クラス,36.0,,東京,140,中19週,Y,,3,シニスターミニスター,Seeking the Gold,,
14,7,ショウナンタハティ,牡4,58.0,津村,美浦・中舘,差し,55.8,8,1,3歳以上1勝クラス,36.0,,中山,21,中2週,Y,,3,ドレフォン,キンシャサノキセキ,,
15,8,バシレイア,牝4,55.0,長浜,美浦・西田,先行,223.2,13,11,,34.9,,福島,83,中11週,Y,,3,ミッキーアイル,ロードカナロア,,
16,8,ホウオウフロイト,牡5,58.0,杉原,美浦・加藤和,追込,999.9,16,10,,36.7,,福島,91,中12週,Y,,3,エイシンフラッシュ,ストラヴィンスキー,,
